geometry,reach,gravity_logistic,gravity_exponential,knn_logistic
POINT (4043.621154611074 766.4372822649705),432,92.96438377880094,207.44833618342668,3.453285131036786
POINT (2143.4284044721953 1516.55021688117),418,85.06605249009388,196.54867186180277,1.799785583929184
POINT (1759.978373332104 1404.4276332394015),467,80.89465799800375,212.2921186056161,2.9598484091063146
POINT (4911.514712068586 1868.2412992551936),268,52.74970152294776,124.56258735689227,3.091966137558075
POINT (4620.176356556944 3723.2613281575073),307,76.45424975991412,150.84482760104225,2.6731179479964093
POINT (134.30514868734434 1373.1646706184229),325,61.234779144733686,150.07631859162242,2.7805710791431544
POINT (4417.199096040367 1922.4145613298963),392,99.33913954317532,194.9880686837538,3.2035025877652825
POINT (3175.73553764041 2086.605790875184),449,91.31193398107727,211.56204014893865,2.6157939830359567
POINT (3115.0715731936193 4176.0466904876275),303,67.30394425101024,146.65316439369087,3.550685117896333
POINT (2693.0845769053976 521.0099438405016),357,89.41071678951542,176.98404674094672,2.6807336002174575
POINT (570.91243960304 3188.62776322461),368,77.63036681193984,176.13793510449784,2.331440065657851
POINT (408.68713328695753 2416.395229975668),362,89.78309599929437,178.6491385632747,2.1894821040812245
POINT (814.9684763868859 823.2017636586996),455,110.42079017269596,223.09269704325382,3.8166559950141727
POINT (2547.1033475771465 4068.612964034582),328,83.1065423618086,162.15071215013145,3.6435944049381783
POINT (1321.2539665724828 1409.717769152568),503,87.68180878405836,230.1254164911692,3.359380128432388
POINT (1109.535721103837 2421.0479200115515),508,107.3996364293753,241.45325433995094,2.103248844660492
POINT (3032.015336656557 3738.3611026365675),408,94.88720070688379,197.57948975231417,2.9588913736634956
POINT (2281.7654860045163 163.3534514619081),282,66.62674075208656,137.07404220306347,2.212011397486773
POINT (218.23674692691588 3199.436277074461),282,70.83503101813554,139.22485333074178,3.8443894419068974
POINT (4045.645219368187 113.53528208401138),261,61.70728009809177,126.95119098358195,3.929986877649957
POINT (568.8121971566496 54.20905909199518),214,47.85800343278594,104.25902478936136,3.662404657825186
POINT (3519.538544026599 3990.471040122931),362,82.21797871067041,174.84401876431448,4.446106174767744
POINT (330.7890129408756 341.92422825000295),263,78.39658959600183,135.92063844933276,3.1144799335815754
POINT (1457.0910059042471 879.0895294576464),444,86.39258281005462,206.47460474499394,3.663725484446377
POINT (1346.4453451753743 3327.997139511487),436,80.29460501597575,201.1015725716451,3.24149238153522
POINT (3997.461299399087 717.1920554722653),428,90.91675812694427,204.56253709603465,4.988808187776763
