geometry,reach,gravity_logistic,gravity_exponential,knn_logistic
POINT (632.7724705805632 474.569487390787),15,13.828670335315515,12.212802367574152,3.0024285043937087
POINT (684.8874262590722 179.08346249795875),6,5.901010567058614,5.1862769348774895,1.6301779059567965
POINT (155.9988401580277 90.77017575570096),4,4.375027780322128,3.942215642816736,2.8891390232865755
POINT (647.193171432009 631.2748287781565),6,6.289734131425446,5.493432012247683,3.3870392812839833
POINT (194.63615838602684 91.56694199600493),4,4.364923240983001,3.9307980844424475,3.313544662381876
POINT (446.9375671008555 396.17584772932605),15,14.1045251729203,12.422235691472773,4.094096746234397
POINT (489.87809830172847 265.36321579127525),14,13.00656560544921,11.411526090785046,2.7962316837749635
POINT (33.74667205238152 537.9394920685103),11,10.343219931114128,9.031787150997065,2.208237339678723
POINT (561.4696418462737 92.22700947615246),3,3.447583921451587,3.038816486652694,2.1318718890787114
POINT (805.8517755539734 222.7084929678388),5,4.940000394344261,4.322458423012659,2.294871039734484
POINT (700.1560011229275 537.3848177683068),8,7.703540792438412,6.906270245054245,3.2997489967030913
POINT (155.6535974676209 266.1081530393018),17,16.05336136260319,14.01801556395288,2.1381002173598587
POINT (490.0875835249831 537.7352679684655),14,13.3209097335219,11.654496887045394,3.8922718413767075
POINT (414.0696967211903 362.25378172427935),15,14.007075928126726,12.290384646774156,4.0809249476527665
