<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: final_batch.csv>index,status,scope,variant,workers,threads,queue_depth,round,trial,jobs,batch_s,pool_startup_and_warm_s,sampled_cgroup_memory_peak_bytes,sampled_process_tree_rss_sum_peak_bytes,memory_sample_count,job_cpu_sum_s,signatures
0,measured,synthetic_component_batch_including_verification,baseline,4,1,4,0,0,8,1.6633599980000326,2.921075523000127,1123393536,1135218688,137,5.824581833,"[[""[\""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b\"", \""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d\"", \""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c\"", \""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0\""]"", ""{\""result.csv\"": \""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48\"", \""result.geojson\"": \""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308\""}""]]"
1,measured,synthetic_component_batch_including_verification,baseline,4,1,4,0,1,8,1.016354622000108,2.921075523000127,1124102144,1135968256,87,3.542921208,"[[""[\""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b\"", \""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d\"", \""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c\"", \""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0\""]"", ""{\""result.csv\"": \""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48\"", \""result.geojson\"": \""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308\""}""]]"
2,measured,synthetic_component_batch_including_verification,baseline,4,1,4,0,2,8,1.1268208879998838,2.921075523000127,1124466688,1136320512,96,3.786861475999999,"[[""[\""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b\"", \""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d\"", \""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c\"", \""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0\""]"", ""{\""result.csv\"": \""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48\"", \""result.geojson\"": \""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308\""}""]]"
3,measured,synthetic_component_batch_including_verification,candidate,2,2,2,0,0,8,0.3210684199998468,1.8909733150001105,823091200,689197056,24,0.796156686,"[[""[\""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b\"", \""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d\"", \""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c\"", \""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0\""]"", ""{\""result.csv\"": \""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48\"", \""result.geojson\"": \""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308\""}""]]"
4,measured,synthetic_component_batch_including_verification,candidate,2,2,2,0,1,8,0.2270682250000391,1.8909733150001105,823484416,689328128,21,0.6212185930000005,"[[""[\""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b\"", \""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d\"", \""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c\"", \""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0\""]"", ""{\""result.csv\"": \""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48\"", \""result.geojson\"": \""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308\""}""]]"
5,measured,synthetic_component_batch_including_verification,candidate,2,2,2,0,2,8,0.2392814090001138,1.8909733150001105,823615488,689438720,22,0.6344377530000007,"[[""[\""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b\"", \""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d\"", \""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c\"", \""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0\""]"", ""{\""result.csv\"": \""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48\"", \""result.geojson\"": \""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308\""}""]]"
6,measured,synthetic_component_batch_including_verification,candidate,2,2,2,1,0,8,0.2120416230000046,1.7070424569999432,825409536,689278976,18,0.5504087400000002,"[[""[\""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b\"", \""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d\"", \""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c\"", \""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0\""]"", ""{\""result.csv\"": \""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48\"", \""result.geojson\"": \""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308\""}""]]"
7,measured,synthetic_component_batch_including_verification,candidate,2,2,2,1,1,8,0.1692445420001149,1.7070424569999432,825667584,689414144,15,0.5024276470000004,"[[""[\""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b\"", \""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d\"", \""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c\"", \""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0\""]"", ""{\""result.csv\"": \""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48\"", \""result.geojson\"": \""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308\""}""]]"
8,measured,synthetic_component_batch_including_verification,candidate,2,2,2,1,2,8,0.18682981500001,1.7070424569999432,825794560,689528832,17,0.5404617800000007,"[[""[\""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b\"", \""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d\"", \""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c\"", \""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0\""]"", ""{\""result.csv\"": \""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48\"", \""result.geojson\"": \""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308\""}""]]"
9,measured,synthetic_component_batch_including_verification,baseline,4,1,4,1,0,8,1.1326010819998371,2.176820010000029,1130352640,1135579136,98,3.636912793,"[[""[\""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b\"", \""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d\"", \""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c\"", \""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0\""]"", ""{\""result.csv\"": \""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48\"", \""result.geojson\"": \""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308\""}""]]"
