<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: final_batch_jobs.csv>index,status,scope,variant,threads,workers,trial,nodes,edges,origins,destinations,load_s,prepare_s,csr_s,metrics_s,export_s,total_s,process_cpu_s,process_peak_rss_kib,rss_after_bytes,read_bytes_delta,write_bytes_delta,input_file_bytes,output_file_bytes,outputs,arrays,round
0,measured,synthetic_component_pipeline,baseline,1,4,0,4096,8064,512,2048,0.0017355780000798,0.0003186339999956,0.3876697729999705,0.0226731440000094,0.0185586069999317,0.4309557359999871,0.4230323879999997,216768,222113792,0,204800,335446,190312,"{""result.csv"": ""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48"", ""result.geojson"": ""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308""}","[""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b"", ""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d"", ""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c"", ""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0""]",0
1,measured,synthetic_component_pipeline,baseline,1,4,0,4096,8064,512,2048,0.0013449499999751,0.0022344389999489,0.379733392000162,0.0354037039999184,0.0514100830000643,0.4701265680000688,0.4616183129999998,216764,222068736,0,200704,335446,190312,"{""result.csv"": ""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48"", ""result.geojson"": ""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308""}","[""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b"", ""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d"", ""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c"", ""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0""]",0
2,measured,synthetic_component_pipeline,baseline,1,4,0,4096,8064,512,2048,0.0012584880000758,0.0003386079999927,0.337235044999943,0.0230415550001907,0.0321379179999894,0.3940116140001919,0.3856659090000001,217024,222375936,0,200704,335446,190312,"{""result.csv"": ""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48"", ""result.geojson"": ""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308""}","[""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b"", ""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d"", ""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c"", ""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0""]",0
3,measured,synthetic_component_pipeline,baseline,1,4,0,4096,8064,512,2048,0.002671169999985,0.0007941639998989,0.5427008500000738,0.0198222789999817,0.0271789290000015,0.5931673919999412,0.5747777750000003,217020,222363648,0,200704,335446,190312,"{""result.csv"": ""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48"", ""result.geojson"": ""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308""}","[""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b"", ""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d"", ""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c"", ""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0""]",0
4,measured,synthetic_component_pipeline,baseline,1,4,0,4096,8064,512,2048,0.0012877799999841,0.0004927600000428,0.3323144369999227,0.0276126549999844,0.02723051199996,0.3889381439998942,0.3771277070000001,217024,222408704,0,200704,335446,190312,"{""result.csv"": ""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48"", ""result.geojson"": ""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308""}","[""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b"", ""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d"", ""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c"", ""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0""]",0
5,measured,synthetic_component_pipeline,baseline,1,4,0,4096,8064,512,2048,0.0015228529998694,0.0003509790001317,0.3999614699998801,0.0210913380001329,0.0298980089999076,0.4528246489999219,0.4502234080000002,217148,222527488,0,204800,335446,190312,"{""result.csv"": ""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48"", ""result.geojson"": ""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308""}","[""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b"", ""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d"", ""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c"", ""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0""]",0
6,measured,synthetic_component_pipeline,baseline,1,4,0,4096,8064,512,2048,0.0026866900000186,0.000385013999903,1.2086753440000848,0.1680502760000308,0.1835116160000325,1.56330894000007,1.5194203900000005,216768,222117888,0,200704,335446,190312,"{""result.csv"": ""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48"", ""result.geojson"": ""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308""}","[""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b"", ""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d"", ""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c"", ""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0""]",0
7,measured,synthetic_component_pipeline,baseline,1,4,0,4096,8064,512,2048,0.0026870509998389,0.0003894230001151,1.316033225999945,0.1351782859999275,0.2013511070001641,1.655639092999991,1.6327159429999996,216768,222060544,0,200704,335446,190312,"{""result.csv"": ""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48"", ""result.geojson"": ""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308""}","[""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b"", ""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d"", ""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c"", ""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0""]",0
8,measured,synthetic_component_pipeline,baseline,1,4,1,4096,8064,512,2048,0.0021083399999497,0.0003841889999876,0.3181366559999787,0.0225654650000706,0.0190640480000183,0.3622586980000051,0.3571194719999999,217024,222425088,0,196608,335446,190312,"{""result.csv"": ""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48"", ""result.geojson"": ""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308""}","[""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b"", ""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d"", ""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c"", ""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0""]",0
9,measured,synthetic_component_pipeline,baseline,1,4,1,4096,8064,512,2048,0.0018623990001742,0.0003398019998712,0.4689466449999599,0.027851972999997,0.025301958,0.5243027770000026,0.504215098,217276,222633984,0,196608,335446,190312,"{""result.csv"": ""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48"", ""result.geojson"": ""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308""}","[""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b"", ""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d"", ""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c"", ""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0""]",0
